Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Luigi	3	3.1318%	4	13	15.5115104	18.9154495	20	3.5803144	49	98	111.2426656	123.9789823	186	18.348013	0	27.0155147	38.3867808	45.9830518	135	15.569798	0	2	3.1439747	4	11	1.5975688	1.9191264	
Luigi	4	0.88892%	6	14.8562305	16.458039	19	20	3.0454537	59	112	126.4235477	140	204	20.0111046	0	24.8694279	36.4716285	44.762881	130	16.3960852	0	2	3.2283895	4	11	1.6058592	1.885974	
Mario	0	49.11724%	1	1	1	1	1	0	36	65	69.7932803	74.9998318	104	7.2005804	1	30	39.5922271	45.039891	141	14.5165849	0	1	1.8455605	3	10	1.2966921	2.5386553	
Mario	1	33.7387%	2	4	9.1365775	13.9992973	20	5.4745809	38	76	84.5842051	93	134	11.5217864	3	29	39.0821348	45.8470556	146	15.037141	0	1	2.5112965	3	11	1.4607529	2.2862695	
Mario	2	12.65806%	4	9	13.1241036	17	20	4.5529753	46	88.4102845	98.3629466	108	152	13.9643017	0	27	38.0003824	44.9989667	148	15.3872316	0	2	2.9498612	4	11	1.5496434	2.0551933	
Mario	3	3.579%	5	13	15.3101872	18	20	3.5765994	59	101	111.8538921	122.7009907	170	15.3771994	0	25	35.8723498	43	132	15.5290902	0	2	3.1830176	4	11	1.5934432	1.9298631	
Mario	4	0.907%	7	15	16.6068578	19	20	2.8601033	70	115	126.4665491	137.9722372	187	16.3973784	0	23	34.3459757	42.0554844	139	16.0584006	0	2	3.3040794	4	11	1.6134546	1.8656009	
Monty Mole	0	54.23102%	1	1	1	1	1	0	22	60	66.0895292	72	106	8.8344633	2	29	38.5288047	44	145	14.5253183	0	1	1.7975395	3	10	1.2886623	2.6306247	
Monty Mole	1	30.60678%	2	5	9.9818847	14.9990486	20	5.4793329	28	71	80.2353786	89	131	12.5563421	1	29.4627145	39.7718773	46.6268898	147	15.1470649	0	1	2.3651753	3	11	1.4400108	2.3560747	
Monty Mole	2	11.54172%	4	10	13.6129955	17	20	4.4100653	35	83.5820222	94.1499828	104.6630943	153	14.9292994	0	28	38.9102179	45.9973187	145	15.3724493	0	2	2.8070963	4	12	1.5477918	2.119237	
Monty Mole	3	2.93324%	5	13	15.5795696	18.7896814	20	3.4707084	47	96	107.9022719	119	169	16.4188775	3	27	37.7230366	45	146	15.5883168	0	2	3.0707068	4	11	1.5955193	1.972781	
Monty Mole	4	0.68724%	6	15	16.7428555	19	20	2.8227515	58	110	122.4601013	134.8315816	190	17.583926	3	25	36.6841278	44.9773514	138	16.0582683	0	2	3.230167	4	11	1.617096	1.8879576	
Normal Dice	0	49.43544%	1	1	1	1	1	0	34	64.4980215	69.716149	75	106	7.6258807	0	30.9990445	40.6848771	46.999646	148	14.5593304	0	1	1.8635829	3	11	1.3153051	2.5405486	
Normal Dice	1	34.17938%	2	5	9.9151315	14.2836393	20	5.4281113	38	74.999973	83.4012782	91.994296	132	11.6730998	0	29	38.977518	45.3064735	144	15.0593471	0	1	2.4517765	3	11	1.4577044	2.312166	
Normal Dice	2	12.31234%	4	10	13.5354754	17	20	4.4343923	44	86.9997386	97.1701496	107	151	14.2235249	0	27	37.4798974	44.471073	145	15.3411416	0	2	2.8822206	4	12	1.5526614	2.0870785	
Normal Dice	3	3.28366%	5	13	15.5028629	18.1203574	20	3.5110708	59	99	110.5538028	121.9085237	168	15.9057128	0	24.8236778	35.7014064	42.9751573	133	15.5574305	0	2	3.0965934	4	11	1.5964189	1.9681575	
Normal Dice	4	0.78918%	6	15	16.7174536	19	20	2.8324871	67	113.236991	125.2255506	137	188	17.1211329	0	23	33.854938	41.7914767	124	15.8264281	0	2	3.1937454	4	11	1.6063609	1.9148737	
Peach	0	48.42816%	1	1	1	1	1	0	24	60	66.1686292	72	102	8.461377	0	23.2102502	32.2075226	37.9991179	134	14.096533	0	1	1.6035555	2	10	1.267825	2.7720046	
Peach	1	35.64466%	2	5.8306984	10.3139644	15	20	5.3387662	27	71	79.6851018	88	130	11.9863372	0	25.9958719	36.027617	42.9985099	143	15.2224564	0	1	2.2057161	3	11	1.3947191	2.4835709	
Peach	2	12.3198%	4	11	14.0481943	18	20	4.2106233	38	83	93.0851653	102.9939212	150	14.1432948	0	24	34.6922661	41.9915165	141	15.2620526	0	2	2.6864559	4	12	1.5165478	2.2214452	
Peach	3	2.97174%	5	13.9904155	15.8348164	19	20	3.3455529	44	95	106.2003136	117	171	15.8008619	0	23	33.6855445	40.9906852	132	15.4351059	0	2	2.9554402	4	11	1.5673054	2.0670382	
Peach	4	0.63564%	6	15	16.939085	19	20	2.6997977	59	108.3341005	120.5512869	132.2563878	181	17.108042	0	21.2739104	32.8802467	40.7469782	120	15.7892664	0	2	3.1157888	4	11	1.5840306	1.9686615	
