Character	AllyCount	Frequency	Min Turn Gained	1st Quartile Turn Gained	Avg Turn Gained	3rd Quartile Turn Gained	Max Turn Gained	Turn Gained SD	Min Distance	1st Quartile Distance	Distance Avg	3rd Quartile Distance	Max Distance	Distance SD	Min Coins	1st Quartile Coins	Coin Avg	3rd Quartile Coins	Max Coins	Coin SD	Min Stars	1st Quartile Stars	Star Avg	3rd Quartile Stars	Max Stars	Stars SD	Average Place
Goomba	2	9.5652%	4	11	14.1730082	18	20	4.1137336	32	77.0406342	88.1099977	98.7673275	150	15.2244317	0	27.370015	43.0194246	56.9897529	161	20.9442951	0	1	2.518008	3	10	1.4874824	2.3841425	
Goomba	3	2.1796%	5	14	16.042231	19	20	3.2317172	47	90	101.8471967	113	162	16.5371718	0	24.3592424	40.1862039	53.9830786	151	20.8061161	0	2	2.8881676	4	10	1.5584282	2.1676684	
Goomba	4	0.47485%	6	15.3023539	17.0943456	19	20	2.6143324	60	105	117.2608192	129.9743654	189	17.7694362	0	22.2927835	38.2274402	51.8481326	133	20.5026823	0	2	3.0734969	4	9	1.5717945	2.0768664	
Goomba	0	63.1849%	1	1	1	1	1	0	11	51.999967	58.7745466	65.9990145	102	10.3155454	0	34.742128	49.0406877	62.4947123	164	20.2394532	0	1	1.5127214	2	9	1.140773	3.0197563	
Hammer Bro	1	30.99915%	2	5	10.174799	14.6943825	20	5.2919297	17	60.2777525	69.9564472	79	122	13.4557028	0	32.5707591	48.2129204	62.7186485	167	21.6429236	0	1	1.9142847	3	10	1.3283672	2.738588	
Hammer Bro	2	9.7911%	4	11	14.2006028	18	20	4.0818954	26	73.2237369	84.1457548	94.9573815	143	15.17876	0	27.9903153	44.0621687	58.5560751	173	21.6144193	0	1	2.4585491	3	11	1.4812391	2.3998836	
Hammer Bro	3	2.5972%	7	13.9904784	15.8519213	19	20	3.2837126	40	86	97.6921685	109	160	16.8017711	0	25.9676106	41.6242107	55.8996585	151	21.1983732	0	2	2.7313838	4	10	1.5342802	2.2361389	
Hammer Bro	4	0.55045%	8	16	17.1668635	19	20	2.5121102	61	101	113.0024525	125	170	17.47719	0	23.327346	39.4152057	53.0977257	126	21.0443672	0	2	2.9342356	4	10	1.5485126	2.1255337	
Hammer Bro	0	56.0621%	1	1	1	1	1	0	14	49	56.0321768	62.2626102	96	9.7654838	0	40.9948237	55.4192583	69.2582559	185	21.0894246	0	1	1.4969792	2	9	1.1203871	2.9564474	
Koopa	1	33.2932%	2	7	11.0296772	15	20	4.8615162	26	67.9354589	78.8760077	89	165	15.8294339	0	32.0492253	49.2772999	64.2381305	180	23.2088268	0	2	3.2269367	4	13	1.6082037	1.821435	
Koopa	2	9.8775%	3	11	14.2350162	18	20	4.0291418	36	79.8247764	91.9956163	103.6441949	173	17.501416	0	28.4594035	45.5048899	60.3777058	162	22.8083469	0	2	3.6286965	5	12	1.6648761	1.6507821	
Koopa	3	2.95835%	5	14	15.8443662	19	20	3.2931414	48	92.5555556	106.1147937	118.9780977	197	19.2991472	0	27	44.0531039	58.9111884	159	22.6034885	0	3	3.8115673	5	11	1.6859814	1.569439	
Koopa	4	0.76385%	7	15	17.0174773	19	20	2.6369951	53	106	120.933102	135	212	20.9613546	0	25.6587198	42.5538391	57	136	22.4383498	0	3	3.9283236	5	12	1.706226	1.5286378	
